,,,,
,,,,
,,,,
,Date,Present ,Next ,Class
,2022-09-16,1.087.044.900,1.095.958.600,1
,2022-09-19,1.095.958.600,1.094.492.600,0
,2022-09-20,1.094.492.600,1.092.808.200,0
,2022-09-21,1.092.808.200,1.099.365.700,1
,2022-09-22,1.099.365.700,1.091.815.800,0
,2022-09-23,1.091.815.800,1.082.869.000,0
,2022-09-26,1.082.869.000,1.084.676.200,1
,2022-09-27,1.084.676.200,1.076.165.200,0
,2022-09-28,1.076.165.200,1.072.212.900,0
,2022-09-29,1.072.212.900,1.073.365.400,1
,2022-09-30,1.073.365.400,1.069.872.800,0
,2022-10-03,1.069.872.800,1.078.587.900,1
,2022-10-04,1.078.587.900,1.075.037.600,0
,2022-10-05,1.075.037.600,1.073.594.700,0
,2022-10-06,1.073.594.700,1.062.873.100,0
,2022-10-07,1.062.873.100,1.058.855.800,0
,2022-10-10,1.058.855.800,1.053.506.100,0
,2022-10-11,1.053.506.100,1.051.401.200,0
,2022-10-12,1.051.401.200,1.047.074.700,0
,2022-10-13,1.047.074.700,1.036.069.100,0
,2022-10-14,1.036.069.100,1.040.061.900,1
,2022-10-17,1.040.061.900,1.037.437.200,0
,2022-10-18,1.037.437.200,1.040.831.000,1
,2022-10-19,1.040.831.000,1.062.420.200,1
,2022-10-20,1.062.420.200,1.069.687.300,1
,2022-10-21,1.069.687.300,1.076.549.600,1
,2022-10-24,1.076.549.600,1.075.597.000,0
,2022-10-25,1.075.597.000,1.074.344.000,0
,2022-10-26,1.074.344.000,1.081.679.400,1
,2022-10-27,1.081.679.400,1.079.485.200,0
,2022-10-28,1.079.485.200,1.087.423.700,1
,2022-10-31,1.087.423.700,1.079.291.300,0
,2022-11-01,1.079.291.300,1.068.342.100,0
,2022-11-02,1.068.342.100,1.069.417.500,1
,2022-11-03,1.069.417.500,1.072.267.700,1
,2022-11-04,1.072.267.700,1.081.782.500,1
,2022-11-07,1.081.782.500,1.072.285.800,0
,2022-11-08,1.072.285.800,1.072.734.300,1
,2022-11-09,1.072.734.300,1.056.722.100,0
,2022-11-10,1.056.722.100,1.071.759.300,1
,2022-11-11,1.071.759.300,1.062.957.700,0
,2022-11-14,1.062.957.700,1.063.491.100,1
,2022-11-15,1.063.491.100,1.055.162.900,0
,2022-11-16,1.055.162.900,1.060.098.700,1
,2022-11-17,1.060.098.700,1.060.177.800,1
,2022-11-18,1.060.177.800,1.058.630.800,0
,2022-11-21,1.058.630.800,1.056.865.900,0
,2022-11-22,1.056.865.900,1.059.320.300,1
,2022-11-23,1.059.320.300,1.065.084.800,1
,2022-11-24,1.065.084.800,1.062.120.100,0
,2022-11-25,1.062.120.100,1.057.761.800,0
,2022-11-28,1.057.761.800,1.060.607.900,1
,2022-11-29,1.060.607.900,1.073.108.200,1
,2022-11-30,1.073.108.200,1.071.118.200,0
,2022-12-01,1.071.118.200,1.068.640.500,0
,2022-12-02,1.068.640.500,1.062.124.400,0
,2022-12-05,1.062.124.400,1.044.434.800,0
,2022-12-06,1.044.434.800,1.028.892.200,0
,2022-12-07,1.028.892.200,1.030.942.000,1
,2022-12-08,1.030.942.000,1.021.265.700,0
,2022-12-09,1.021.265.700,1.029.750.500,1
,2022-12-12,1.029.750.500,1.015.257.700,0
,2022-12-13,1.015.257.700,1.018.448.800,1
,2022-12-14,1.018.448.800,1.009.847.900,0
,2022-12-15,1.009.847.900,1.015.478.500,1
,2022-12-16,1.015.478.500,,0